hiveid,recordday,temp,humidity,co2,weight,incount,outcount,pm10,pm25,extemphigh,extemplow
1,01,4.34,65.91,15,24150,0,0,19,13,2.4,-4.7
1,02,5.53,66.56,29,23000,0,0,29,20,6.1,-3.9
1,03,8.08,67.94,35,21950,14,7,27,21,10.1,-0.2
1,04,8,68.05,32,25350,6,0,25,16,5.1,-1.6
1,05,5.1,66.49,37,25250,2,3,18,12,3.2,-2.5
1,06,5.11,66.07,46,22550,5,1,29,18,8.9,-3.8
1,07,8.19,68.03,59,22700,12,0,46,30,10,1
1,08,8.96,68.03,64,22950,15,2,47,31,11.6,-0.1
1,09,9.73,68.37,73,22800,53,11,54,38,12.4,1.4
1,10,7.61,67.25,84,22150,16,0,66,55,5.8,-1.4
1,11,7.63,67.7,84,23350,21,0,55,43,8.3,-0.3
1,12,5.83,66.3,81,22550,3,1,34,25,6.7,-2
1,13,8.49,68.19,79,23400,6,3,139,42,7.9,-0.8
1,14,5.11,66.05,78,22900,2,0,28,16,-0.7,-7.4
1,15,3.02,64.91,83,23100,1,2,22,14,7,-6.9
1,16,5.23,66.44,142,24650,0,0,31,22,0.9,-4.2
1,17,2.66,65.33,192,21950,0,1,21,17,0.8,-7.2
1,18,0.46,63.75,186,23650,2,0,24,18,-3.5,-8.8
1,19,0.35,63.51,192,22250,0,0,26,21,3,-9.4
1,20,3.47,65.44,205,22900,1,1,40,30,6.5,-5.5
1,21,6.87,67.55,192,22050,2,0,34,28,5.2,1.1
1,22,4.99,66.72,185,22050,0,2,25,16,1.2,-7.4
1,23,0.72,64.47,185,22450,0,1,17,14,-4.1,-8.9
1,24,0.58,64.51,189,23100,2,0,27,22,-3.6,-9.1
1,25,-0.73,63.3,196,23800,0,1,36,33,1.7,-9.7
1,26,1.59,64.85,195,22550,0,0,33,31,3.4,-7.1
1,27,2.71,65.58,196,24250,1,0,43,40,4.2,-6.5
1,28,3.96,66.46,191,24750,3,1,41,34,3.2,-3.6
1,29,3.67,66.3,191,23050,0,0,35,29,3.9,-5.9
1,30,4.53,66.99,191,23300,0,0,40,37,4.3,-3
1,31,5.68,67.75,189,23700,0,0,34,30,5.1,-2.2
2,01,5.7,72.77,2072,17200,0,0,19,13,2.4,-4.7
2,02,6.54,73.59,1794,18200,26,4,29,20,6.1,-3.9
2,03,8.97,74.65,2196,16650,206,38,27,21,10.1,-0.2
2,04,8.35,73.75,1706,21150,7,2,25,16,5.1,-1.6
2,05,6.1,74.33,2292,17600,0,0,18,12,3.2,-2.5
2,06,6.24,74.61,2060,15100,10,0,29,18,8.9,-3.8
2,07,8.79,75.12,1510,17850,30,3,46,30,10,1
2,08,9.55,74.65,1547,15950,44,10,47,31,11.6,-0.1
2,09,10.52,76.37,2035,16250,120,75,54,38,12.4,1.4
2,10,8.48,76.8,2092,15400,8,0,66,55,5.8,-1.4
2,11,8.3,76.53,1588,16600,10,1,55,43,8.3,-0.3
2,12,6.81,75.55,2289,15550,1,0,34,25,6.7,-2
2,13,9.15,77.39,1788,16200,25,6,139,42,7.9,-0.8
2,14,5.88,74.56,1931,18550,0,0,28,16,-0.7,-7.4
2,15,5.3,76.16,2399,18700,23,9,22,14,7,-6.9
2,16,6.43,77.05,2101,18350,0,0,31,22,0.9,-4.2
2,17,4.06,76.14,2188,14550,2,0,21,17,0.8,-7.2
2,18,2.26,76.23,2389,15450,0,0,24,18,-3.5,-8.8
2,19,2.32,77.23,2247,15400,0,0,26,21,3,-9.4
