
년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1961,108,12.4,8.1,17.2
1962,108,11.7,7.3,16.5
1963,108,11.3,7.2,16
1964,108,12.2,8.4,16.7
1965,108,11.4,7,16.4
1966,108,11.5,7.4,16.3
1967,108,11.6,7.7,16.5
1968,108,11.8,7.6,16.8
1969,108,10.9,7,15.4
1970,108,11.4,7.5,16.1
1971,108,11.5,7.8,16.1
1972,108,11.9,8,16.5
1973,108,12,8.2,16.8
1974,108,11.1,7.2,15.9
1975,108,12.5,8.6,17.4
1976,108,11.5,7.4,16.4
1977,108,12.3,8.1,17.3
1978,108,12.4,8.4,17.2
1979,108,12.5,8.6,17.2
1980,108,10.8,6.8,15.7
1981,108,11.2,7.2,15.8
1982,108,12.5,8.3,17.4
1983,108,12.4,8.3,16.9
1984,108,11.6,7.6,16.5
1985,108,11.6,7.7,16.2
1986,108,11.2,7.4,15.7
1987,108,11.9,7.9,16.4
1988,108,12.1,8,16.8
1989,108,13,9,17.5
1990,108,12.8,9,17.1
1991,108,12.3,8.2,17
1992,108,12.5,8.5,16.9
1993,108,12,8.1,16.7
1994,108,13.5,9.5,18.3
1995,108,12.2,8.2,16.7
1996,108,12.2,8.3,16.8
1997,108,12.9,8.7,17.7
1998,108,13.8,9.8,18.4
1999,108,13.2,9,17.8
2000,108,12.7,8.6,17.1
2001,108,12.8,8.9,17.3
2002,108,12.9,9.1,17.2
2003,108,12.8,9.2,17
2004,108,13.3,9.5,17.7
2005,108,12.1,8.4,16.4
2006,108,13,9.3,17.2
2007,108,13.3,9.7,17.5
2008,108,12.9,9.1,17.3
2009,108,12.9,9.1,17.2
2010,108,12.1,8.5,16.3
2011,108,12,8.4,16.4
2012,108,12.2,8.5,16.7
2013,108,12.5,8.7,16.9
2014,108,13.4,9.3,18.3
2015,108,13.6,9.3,18.7
2016,108,13.6,9.4,18.5
2017,108,13,8.8,18.1
2018,108,12.9,8.8,17.9
2019,108,13.5,9.3,18.5
2020,108,13.2,9.4,17.9
2021,108,13.7,9.6,18.5
2022,108,13.2,9.2,18
2023,108,14.1,10,18.7
