년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1981 가을,108,12.3,8.2,16.9
1982 가을,108,14.8,10,20.2
1983 가을,108,14.3,10.4,18.7
1984 가을,108,14,9.8,19.1
1985 가을,108,13.5,10,17.7
1986 가을,108,12.6,8.6,17.1
1987 가을,108,14.4,9.9,19.3
1988 가을,108,14,9.3,19.2
1989 가을,108,13.8,9.8,18.4
1990 가을,108,15.5,11,20.5
1991 가을,108,13.8,9.4,18.6
1992 가을,108,13.7,9.6,18.3
1993 가을,108,14.4,10.1,19.4
1994 가을,108,15.2,11.1,20
1995 가을,108,13.9,9.4,18.9
1996 가을,108,14.2,10,19
1997 가을,108,14.1,9.5,19.4
1998 가을,108,15.8,11.7,20.7
1999 가을,108,15,11.1,19.6
2000 가을,108,14.2,10.2,18.4
2001 가을,108,15.3,11.1,20
2002 가을,108,12.8,9,17.3
2003 가을,108,14.8,11,19.1
2004 가을,108,15.3,11.1,20.2
2005 가을,108,15,11.3,19.3
2006 가을,108,15.8,11.8,20.2
2007 가을,108,14.4,10.9,18.7
2008 가을,108,15.2,11.3,19.9
2009 가을,108,14.9,11,19.2
2010 가을,108,14.3,10.5,18.9
2011 가을,108,15.6,11.5,20.2
2012 가을,108,13.9,10.1,18.3
2013 가을,108,14.6,10.3,19.3
2014 가을,108,15.6,11.2,20.7
2015 가을,108,15.6,11.4,20.7
2016 가을,108,15.3,11.2,20.3
2017 가을,108,14.7,10.1,20.1
2018 가을,108,14.1,9.9,19.3
2019 가을,108,15.5,11.3,20.6
2020 가을,108,14.6,10.5,19.2
2021 가을,108,15.5,11.5,20.2
2022 가을,108,15.7,11.4,20.8
2023 가을,108,15.4,11.5,20


