년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1981 여름,108,23.9,20.4,28.3
1982 여름,108,24.1,20.4,28.9
1983 여름,108,23.9,20.4,28.2
1984 여름,108,24.7,21.2,29.2
1985 여름,108,24.6,21.1,29
1986 여름,108,23.3,20,27.2
1987 여름,108,23.5,20.1,27.4
1988 여름,108,24.4,20.9,28.7
1989 여름,108,23.7,19.9,28.1
1990 여름,108,24,20.7,28
1991 여름,108,24.1,20.4,28.5
1992 여름,108,23.5,19.9,27.8
1993 여름,108,22.6,19.1,27
1994 여름,108,26.3,22.6,30.9
1995 여름,108,24,20.9,27.8
1996 여름,108,24.2,21.1,28.2
1997 여름,108,25.4,21.6,30
1998 여름,108,23.9,20.7,27.9
1999 여름,108,25,21,29.5
2000 여름,108,25.6,21.7,30.1
2001 여름,108,25,21.6,29.3
2002 여름,108,23.9,20.5,27.9
2003 여름,108,23.1,20,27
2004 여름,108,24.7,21.5,28.5
2005 여름,108,24.4,21.4,28.3
2006 여름,108,24,21,27.8
2007 여름,108,24.6,21.4,28.5
2008 여름,108,24,20.7,28
2009 여름,108,24.1,20.7,28.1
2010 여름,108,25.2,22.1,29.2
2011 여름,108,24.1,21.1,28
2012 여름,108,25.5,22.1,29.9
2013 여름,108,25.9,22.9,29.5
2014 여름,108,24.8,21.6,29.1
2015 여름,108,25.2,21.4,30.1
2016 여름,108,25.9,22.4,30.4
2017 여름,108,25.4,22,29.6
2018 여름,108,26.6,22.8,31.3
2019 여름,108,25.2,21.5,29.8
2020 여름,108,24.8,21.8,28.8
2021 여름,108,25.6,22.1,29.8
2022 여름,108,25.4,22.4,29.1
2023 여름,108,25.8,22.6,29.6


