년계절,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1981 겨울,108,-0.9,-4.7,3.5
1982 겨울,108,-1.2,-4.8,2.9
1983 겨울,108,-3.5,-7.3,0.8
1984 겨울,108,-2.4,-6,2.2
1985 겨울,108,-4,-7.6,-0.1
1986 겨울,108,-0.4,-4,3.5
1987 겨울,108,-0.9,-4.5,3.3
1988 겨울,108,1.1,-2.4,5.1
1989 겨울,108,0.3,-2.9,3.6
1990 겨울,108,-0.9,-4.6,3.2
1991 겨울,108,0.9,-2.7,4.8
1992 겨울,108,0.2,-3.5,4.1
1993 겨울,108,-0.1,-3.9,4.2
1994 겨울,108,0.1,-3.6,4.2
1995 겨울,108,-1.6,-5.2,2.8
1996 겨울,108,-0.3,-4.4,4.3
1997 겨울,108,1.3,-2.4,5.4
1998 겨울,108,0.7,-3.2,5
1999 겨울,108,-1.1,-5,2.9
2000 겨울,108,-1.2,-4.8,2.6
2001 겨울,108,0.9,-2.6,4.8
2002 겨울,108,0.6,-2.7,4.3
2003 겨울,108,0.5,-3.1,4.5
2004 겨울,108,-0.8,-4.4,3.2
2005 겨울,108,-1.3,-4.9,2.5
2006 겨울,108,1.9,-1.6,6.1
2007 겨울,108,-0.4,-3.8,3.5
2008 겨울,108,0.7,-2.9,4.7
2009 겨울,108,-1.4,-4.7,2.2
2010 겨울,108,-2.4,-6,1.9
2011 겨울,108,-1.9,-5.5,2.4
2012 겨울,108,-2.9,-6.3,0.9
2013 겨울,108,0.3,-3.4,4.5
2014 겨울,108,-0.9,-4.8,3.7
2015 겨울,108,-0.5,-4.3,4.1
2016 겨울,108,-0.3,-4.4,4.5
2017 겨울,108,-2.5,-6.3,1.9
2018 겨울,108,-0.2,-4.3,4.7
2019 겨울,108,1.8,-1.9,6.1
2020 겨울,108,0,-4.4,4.7
2021 겨울,108,-0.9,-5,3.8
2022 겨울,108,-0.7,-4.7,4.1
2023 겨울,108,,,
